Provider,Total_Inpatient_Claims,Total_Outpatient_Claims,Total_Claims,Unique_Beneficiaries,Avg_Inpatient_Reimbursement,Avg_Outpatient_Reimbursement,Total_Inpatient_Reimbursement,Total_Outpatient_Reimbursement,Avg_Claim_Duration,Avg_Length_of_Stay,Inpatient_Outpatient_Ratio,Number_of_States_Served,Number_of_Counties_Served,AveragePatientAge,PercentageMalePatients,PercentageFemalePatients,AveragePartACoverage,AveragePartBCoverage,AlzheimerPatientPercentage,HeartFailurePatientPercentage,KidneyDiseasePatientPercentage,CancerPatientPercentage,COPDPatientPercentage,DepressionPatientPercentage,DiabetesPatientPercentage,IschemicHeartDiseasePercentage,OsteoporosisPatientPercentage,RheumatoidArthritisPatientPercentage,StrokePatientPercentage,AverageAnnualInpatientReimbursement,AverageAnnualOutpatientReimbursement,AverageAnnualInpatientDeductible,AverageAnnualOutpatientDeductible,AverageDeductiblePaidPerClaim,NumberOfUniqueDiagnosisCodes,NumberOfUniqueProcedureCodes,NumberOfUniqueAttendingPhysicians,NumberOfUniqueOperatingPhysicians,NumberOfUniqueOtherPhysicians,PotentialFraud
PRV51001,5.0,20.0,25.0,24,19400.0,382.0,97000.0,7640.0,5.0,5.0,0.25,1,7,78.20833333333333,37.5,62.5,12.0,12.0,58.333333333333336,75.0,70.83333333333334,20.833333333333336,37.5,37.5,83.33333333333334,91.66666666666666,25.0,33.33333333333333,20.833333333333336,18047.916666666668,2537.5,890.0,474.9166666666667,213.6,72.0,3.0,14,5.0,8.0,No
PRV51003,62.0,70.0,132.0,117,9241.935483870968,466.7142857142857,573000.0,32670.0,5.161290322580645,5.161290322580645,0.8857142857142857,3,23,69.05128205128206,41.88034188034188,58.119658119658126,11.794871794871796,11.854700854700855,37.60683760683761,59.82905982905983,44.44444444444444,8.547008547008547,28.205128205128204,40.17094017094017,74.35897435897436,84.61538461538461,23.931623931623932,27.350427350427353,7.6923076923076925,6814.017094017094,2490.5982905982905,822.6324786324786,664.5299145299145,502.1666666666667,365.0,39.0,44,7.0,22.0,Yes
PRV51004,0.0,149.0,149.0,138,0.0,350.13422818791946,0.0,52170.0,0.0,0.0,0.0,9,28,72.55797101449275,32.608695652173914,67.3913043478261,11.855072463768115,11.956521739130435,43.47826086956522,59.42028985507246,34.05797101449276,11.594202898550725,26.811594202898554,43.47826086956522,69.56521739130434,71.01449275362319,31.15942028985507,29.71014492753623,11.594202898550725,4596.739130434783,2095.144927536232,454.1449275362319,600.8695652173913,2.0805369127516777,267.0,0.0,38,19.0,26.0,No
PRV51005,0.0,1165.0,1165.0,495,0.0,241.1244635193133,0.0,280910.0,0.0,0.0,0.0,4,26,70.07070707070707,42.02020202020202,57.97979797979798,11.83030303030303,11.886868686868686,33.33333333333333,53.13131313131313,35.95959595959596,11.91919191919192,21.21212121212121,37.17171717171717,63.43434343434343,70.1010101010101,28.68686868686869,25.656565656565654,7.878787878787878,3717.2323232323233,1798.8080808080808,398.6989898989899,475.96565656565656,3.1759656652360513,1294.0,0.0,6,6.0,4.0,Yes
PRV51007,3.0,69.0,72.0,58,6333.333333333333,213.18840579710144,19000.0,14710.0,5.333333333333333,5.333333333333333,0.043478260869565216,2,6,68.01724137931035,46.55172413793103,53.44827586206896,11.793103448275861,11.793103448275861,36.206896551724135,51.724137931034484,29.310344827586203,10.344827586206897,20.689655172413794,36.206896551724135,62.06896551724138,68.96551724137932,29.310344827586203,27.586206896551722,15.517241379310345,3109.655172413793,1497.2413793103449,423.51724137931035,430.6896551724138,45.333333333333336,165.0,1.0,10,5.0,7.0,No
PRV51008,2.0,41.0,43.0,36,12500.0,259.2682926829268,25000.0,10630.0,4.0,4.0,0.04878048780487805,2,9,74.72222222222223,44.44444444444444,55.55555555555556,12.0,12.0,38.88888888888889,58.333333333333336,36.11111111111111,22.22222222222222,22.22222222222222,27.77777777777778,69.44444444444444,80.55555555555556,30.555555555555557,16.666666666666664,5.555555555555555,7235.0,2624.722222222222,652.6666666666666,638.0555555555555,53.86046511627907,98.0,2.0,10,5.0,5.0,No
PRV51011,1.0,57.0,58.0,53,5000.0,204.03508771929825,5000.0,11630.0,5.0,5.0,0.017543859649122806,1,9,73.26415094339623,45.28301886792453,54.71698113207547,12.0,12.0,43.39622641509434,64.15094339622641,41.509433962264154,7.547169811320755,33.9622641509434,50.943396226415096,69.81132075471697,77.35849056603774,33.9622641509434,26.41509433962264,3.7735849056603774,3774.3396226415093,1434.1509433962265,596.8301886792453,357.7358490566038,23.586206896551722,120.0,0.0,28,10.0,15.0,No
PRV51012,0.0,48.0,48.0,31,0.0,351.875,0.0,16890.0,0.0,0.0,0.0,3,6,75.61290322580645,25.806451612903224,74.19354838709677,12.0,11.612903225806452,32.25806451612903,54.83870967741935,41.935483870967744,9.67741935483871,38.70967741935484,32.25806451612903,61.29032258064516,74.19354838709677,41.935483870967744,41.935483870967744,9.67741935483871,4785.4838709677415,2440.3225806451615,508.1290322580645,560.3225806451613,2.0833333333333335,105.0,0.0,14,3.0,13.0,No
PRV51013,0.0,46.0,46.0,44,0.0,323.4782608695652,0.0,14880.0,0.0,0.0,0.0,2,8,74.1590909090909,27.27272727272727,72.72727272727273,12.0,12.0,34.090909090909086,56.81818181818182,38.63636363636363,9.090909090909092,36.36363636363637,38.63636363636363,81.81818181818183,77.27272727272727,25.0,36.36363636363637,4.545454545454546,3800.909090909091,3260.2272727272725,620.2727272727273,942.5,5.0,103.0,0.0,9,5.0,4.0,No
PRV51014,0.0,30.0,30.0,25,0.0,349.3333333333333,0.0,10480.0,0.0,0.0,0.0,2,6,71.96,28.000000000000004,72.0,12.0,12.0,44.0,52.0,48.0,8.0,28.000000000000004,28.000000000000004,60.0,68.0,16.0,36.0,12.0,2703.6,1667.2,427.2,558.8,4.0,93.0,0.0,7,6.0,8.0,No
PRV51015,0.0,8.0,8.0,7,0.0,87.5,0.0,700.0,0.0,0.0,0.0,1,3,72.0,0.0,100.0,12.0,12.0,57.14285714285714,85.71428571428571,57.14285714285714,42.857142857142854,57.14285714285714,85.71428571428571,100.0,85.71428571428571,42.857142857142854,28.57142857142857,14.285714285714285,1355.7142857142858,1550.0,305.14285714285717,281.42857142857144,0.0,22.0,0.0,3,1.0,4.0,No
PRV51016,0.0,6.0,6.0,6,0.0,28.333333333333332,0.0,170.0,0.0,0.0,0.0,1,3,70.5,50.0,50.0,12.0,12.0,33.33333333333333,66.66666666666666,66.66666666666666,50.0,33.33333333333333,33.33333333333333,83.33333333333334,83.33333333333334,33.33333333333333,50.0,16.666666666666664,0.0,878.3333333333334,0.0,295.0,0.0,21.0,0.0,3,1.0,0.0,No
PRV51017,0.0,515.0,515.0,420,0.0,277.126213592233,0.0,142720.0,0.0,0.0,0.0,10,61,72.36428571428571,43.57142857142857,56.42857142857143,11.871428571428572,11.959523809523809,38.80952380952381,56.666666666666664,40.0,11.190476190476192,30.714285714285715,39.285714285714285,66.19047619047619,73.33333333333333,33.57142857142857,25.238095238095237,9.761904761904763,3225.1428571428573,2224.0238095238096,383.64761904761906,636.1428571428571,2.0388349514563107,723.0,2.0,113,46.0,69.0,No
PRV51021,29.0,228.0,257.0,208,9275.862068965518,350.13157894736844,269000.0,79830.0,4.793103448275862,4.758620689655173,0.12719298245614036,4,34,73.35576923076923,45.19230769230769,54.807692307692314,11.942307692307692,11.89423076923077,35.57692307692308,54.32692307692307,43.269230769230774,19.71153846153846,34.61538461538461,44.71153846153847,74.51923076923077,72.59615384615384,26.442307692307693,30.76923076923077,9.615384615384617,4290.961538461538,2387.980769230769,514.6923076923077,681.2884615384615,122.53696498054475,520.0,18.0,69,30.0,41.0,Yes
PRV51023,9.0,27.0,36.0,35,6000.0,430.0,54000.0,11610.0,3.5555555555555554,3.5555555555555554,0.3333333333333333,1,7,72.4,40.0,60.0,12.0,12.0,45.714285714285715,60.0,45.714285714285715,14.285714285714285,28.57142857142857,42.857142857142854,60.0,82.85714285714286,25.71428571428571,22.857142857142858,14.285714285714285,5358.0,2529.714285714286,837.0285714285715,760.0,246.4,130.0,5.0,14,8.0,6.0,No
