Provider,Total_Inpatient_Claims,Total_Outpatient_Claims,Total_Claims,Unique_Beneficiaries,Avg_Inpatient_Reimbursement,Avg_Outpatient_Reimbursement,Total_Inpatient_Reimbursement,Total_Outpatient_Reimbursement,Avg_Claim_Duration,Avg_Length_of_Stay,Inpatient_Outpatient_Ratio,Number_of_States_Served,Number_of_Counties_Served,PotentialFraud
PRV51001,5.0,20.0,25.0,24,19400.0,382.0,97000.0,7640.0,5.0,5.0,0.25,1,7,No
PRV51003,62.0,70.0,132.0,117,9241.935483870968,466.7142857142857,573000.0,32670.0,5.161290322580645,5.161290322580645,0.8857142857142857,3,23,Yes
PRV51004,0.0,149.0,149.0,138,0.0,350.13422818791946,0.0,52170.0,0.0,0.0,0.0,9,28,No
PRV51005,0.0,1165.0,1165.0,495,0.0,241.1244635193133,0.0,280910.0,0.0,0.0,0.0,4,26,Yes
PRV51007,3.0,69.0,72.0,58,6333.333333333333,213.18840579710144,19000.0,14710.0,5.333333333333333,5.333333333333333,0.043478260869565216,2,6,No
PRV51008,2.0,41.0,43.0,36,12500.0,259.2682926829268,25000.0,10630.0,4.0,4.0,0.04878048780487805,2,9,No
PRV51011,1.0,57.0,58.0,53,5000.0,204.03508771929825,5000.0,11630.0,5.0,5.0,0.017543859649122806,1,9,No
PRV51012,0.0,48.0,48.0,31,0.0,351.875,0.0,16890.0,0.0,0.0,0.0,3,6,No
PRV51013,0.0,46.0,46.0,44,0.0,323.4782608695652,0.0,14880.0,0.0,0.0,0.0,2,8,No
PRV51014,0.0,30.0,30.0,25,0.0,349.3333333333333,0.0,10480.0,0.0,0.0,0.0,2,6,No
PRV51015,0.0,8.0,8.0,7,0.0,87.5,0.0,700.0,0.0,0.0,0.0,1,3,No
PRV51016,0.0,6.0,6.0,6,0.0,28.333333333333332,0.0,170.0,0.0,0.0,0.0,1,3,No
PRV51017,0.0,515.0,515.0,420,0.0,277.126213592233,0.0,142720.0,0.0,0.0,0.0,10,61,No
PRV51021,29.0,228.0,257.0,208,9275.862068965518,350.13157894736844,269000.0,79830.0,4.793103448275862,4.758620689655173,0.12719298245614036,4,34,Yes
PRV51023,9.0,27.0,36.0,35,6000.0,430.0,54000.0,11610.0,3.5555555555555554,3.5555555555555554,0.3333333333333333,1,7,No
PRV51024,9.0,30.0,39.0,38,6777.777777777777,101.66666666666667,61000.0,3050.0,4.333333333333333,4.333333333333333,0.3,2,10,No
PRV51025,13.0,74.0,87.0,76,6615.384615384615,437.1621621621622,86000.0,32350.0,7.0,7.0,0.17567567567567569,2,13,No
PRV51026,0.0,76.0,76.0,56,0.0,261.05263157894734,0.0,19840.0,0.0,0.0,0.0,3,9,No
PRV51027,0.0,53.0,53.0,44,0.0,563.0188679245283,0.0,29840.0,0.0,0.0,0.0,2,5,No
PRV51029,0.0,93.0,93.0,79,0.0,329.6774193548387,0.0,30660.0,0.0,0.0,0.0,6,17,No
PRV51030,82.0,89.0,171.0,145,8604.878048780487,383.82022471910113,705600.0,34160.0,4.621951219512195,4.621951219512195,0.9213483146067416,2,14,No
PRV51031,28.0,157.0,185.0,157,11750.0,195.6687898089172,329000.0,30720.0,5.535714285714286,5.535714285714286,0.17834394904458598,4,29,No
PRV51032,0.0,23.0,23.0,21,0.0,235.65217391304347,0.0,5420.0,0.0,0.0,0.0,3,5,No
PRV51035,1.0,29.0,30.0,25,29000.0,122.75862068965517,29000.0,3560.0,14.0,14.0,0.034482758620689655,2,8,No
PRV51036,0.0,278.0,278.0,131,0.0,269.3525179856115,0.0,74880.0,0.0,0.0,0.0,1,7,No
PRV51037,23.0,431.0,454.0,206,9304.347826086956,297.51740139211137,214000.0,128230.0,4.521739130434782,4.565217391304348,0.05336426914153132,1,7,Yes
PRV51038,30.0,111.0,141.0,107,7653.333333333333,323.3333333333333,229600.0,35890.0,4.033333333333333,4.033333333333333,0.2702702702702703,3,15,No
PRV51040,9.0,77.0,86.0,69,7000.0,148.96103896103895,63000.0,11470.0,10.555555555555555,10.555555555555555,0.11688311688311688,2,10,No
PRV51041,0.0,34.0,34.0,31,0.0,217.94117647058823,0.0,7410.0,0.0,0.0,0.0,1,6,No
PRV51042,0.0,142.0,142.0,128,0.0,338.38028169014086,0.0,48050.0,0.0,0.0,0.0,9,28,No
PRV51043,0.0,23.0,23.0,20,0.0,194.7826086956522,0.0,4480.0,0.0,0.0,0.0,2,4,No
PRV51044,0.0,59.0,59.0,39,0.0,361.52542372881356,0.0,21330.0,0.0,0.0,0.0,1,5,No
PRV51045,0.0,31.0,31.0,29,0.0,270.64516129032256,0.0,8390.0,0.0,0.0,0.0,3,9,No
PRV51046,8.0,30.0,38.0,26,12625.0,279.0,101000.0,8370.0,4.5,4.5,0.26666666666666666,1,6,No
PRV51047,0.0,11.0,11.0,11,0.0,230.0,0.0,2530.0,0.0,0.0,0.0,2,6,No
PRV51048,4.0,34.0,38.0,33,4750.0,255.88235294117646,19000.0,8700.0,4.75,4.75,0.11764705882352941,1,9,No
PRV51049,0.0,71.0,71.0,65,0.0,305.9154929577465,0.0,21720.0,0.0,0.0,0.0,4,21,No
PRV51052,2.0,44.0,46.0,37,7000.0,381.8181818181818,14000.0,16800.0,9.0,9.0,0.045454545454545456,1,7,Yes
PRV51053,1.0,0.0,1.0,1,8000.0,0.0,8000.0,0.0,5.0,5.0,1.0,1,1,No
PRV51054,0.0,57.0,57.0,40,0.0,265.43859649122805,0.0,15130.0,0.0,0.0,0.0,1,4,No
PRV51055,2.0,20.0,22.0,22,8350.0,247.0,16700.0,4940.0,5.5,5.5,0.1,1,8,No
PRV51056,2.0,20.0,22.0,21,4000.0,335.0,8000.0,6700.0,3.0,3.0,0.1,1,6,No
